"skill","job_count","percentage"
"Communication","563","66.39"
"Sales","252","29.72"
"Leadership","225","26.53"
"Excel","163","19.22"
"Customer Service","153","18.04"
"Teamwork","134","15.8"
"Project Management","89","10.5"
"Social Media","87","10.26"
"REST API","61","7.19"
"PowerPoint","60","7.08"
"CRM","59","6.96"
"Go","52","6.13"
"SQL","39","4.6"
"Problem Solving","38","4.48"
"Agile","33","3.89"
"Quality Assurance","33","3.89"
"Python","32","3.77"
"JavaScript","28","3.3"
"Data Analysis","25","2.95"
"SAP","24","2.83"
"AWS","24","2.83"
"Azure","23","2.71"
"Java","20","2.36"
"Salesforce","20","2.36"
"React","18","2.12"
"UI/UX","17","2.0"
"CI/CD","15","1.77"
"SEO","15","1.77"
"Git","15","1.77"
"Power BI","14","1.65"
"GCP","13","1.53"
"Photoshop","13","1.53"
"Docker","11","1.3"
"Node.js","10","1.18"
"Jira","10","1.18"
"ETL","9","1.06"
"TypeScript","9","1.06"
"Financial Analysis","9","1.06"
"Cybersecurity","8","0.94"
"Angular","8","0.94"
"Google Analytics","8","0.94"
"Kafka","7","0.83"
"Machine Learning","7","0.83"
"Scrum","7","0.83"
"Jenkins","6","0.71"
"Business Analysis","6","0.71"
"Tableau","5","0.59"
"Big Data","5","0.59"
"Kubernetes","5","0.59"
"MySQL","5","0.59"
"Spark","4","0.47"
"Figma","4","0.47"
"PHP","4","0.47"
"Terraform","4","0.47"
"Content Marketing","4","0.47"
"PostgreSQL","4","0.47"
"PyTorch","2","0.24"
"MongoDB","2","0.24"
"GraphQL","1","0.12"
"Vue.js","1","0.12"
"C++","1","0.12"
"Ruby","1","0.12"
"Swift","1","0.12"
"Kotlin","1","0.12"
"Rust","1","0.12"
"TensorFlow","1","0.12"
